English	Hindi	Spanish	French	Bengali	Gujarati
0.96647	0.55155	0.82146	0.86672	0.54065	0.5373
0.54401	0.96982	0.53227	0.54484	0.64711	0.63789
0.8223	0.55071	0.96815	0.86002	0.54065	0.5373
0.84493	0.55742	0.85499	0.96899	0.54652	0.53898
0.52389	0.6119	0.52054	0.52473	0.97485	0.64124
0.52389	0.62364	0.52137	0.52724	0.65717	0.99078
					
English	Hindi	Spanish	French	Bengali	Gujarati
0.97737	0.67225	0.93546	0.94049	0.60771	0.60604
0.62615	0.97569	0.6228	0.62196	0.79631	0.81727
0.93462	0.66387	0.97737	0.9363	0.60687	0.60687
0.94132	0.65717	0.94216	0.97988	0.59933	0.58927
0.57586	0.80553	0.57502	0.57502	0.98324	0.87343
0.56915	0.78793	0.55742	0.55909	0.84409	0.98994
					
English	Hindi	Spanish	French	Bengali	Gujarati
0.99246	0.55574	0.82481	0.93294	0.5482	0.53395
0.58843	0.99413	0.53814	0.56915	0.78961	0.79464
0.91785	0.54904	0.9539	0.94049	0.54484	0.53814
0.94468	0.55742	0.89774	0.98826	0.55407	0.53227
0.55742	0.79296	0.5264	0.55323	0.99665	0.85331
0.55323	0.80218	0.53311	0.53814	0.86253	0.99832
					
English	Hindi	Spanish	French	Bengali	Gujarati
0.9539	0.68315	0.72339	0.85499	0.63453	0.57754
0.74518	0.97821	0.54317	0.64292	0.80805	0.78793
0.9145	0.67142	0.94049	0.90528	0.62783	0.58676
0.92288	0.70327	0.80469	0.97485	0.64878	0.59514
0.71836	0.83655	0.53898	0.62196	0.98072	0.78625
0.68064	0.81811	0.52976	0.57921	0.79212	0.97485
