English	Hindi	Spanish	French	Bengali	Gujarati
0.93713	0.53311	0.88097	0.88935	0.52054	0.52054
0.54233	0.65884	0.54484	0.53479	0.52808	0.52389
0.82649	0.52808	0.96563	0.92791	0.52137	0.52054
0.82565	0.52808	0.88265	0.99246	0.52137	0.52054
0.52221	0.52557	0.52473	0.52305	0.69489	0.5264
0.52054	0.52137	0.52221	0.52054	0.52054	0.57083
					
English	Hindi	Spanish	French	Bengali	Gujarati
0.99581	0.75775	0.9824	0.93378	0.78458	0.76614
0.90025	1	0.96563	0.66806	1	1
0.99497	0.87846	0.99916	0.94635	0.89438	0.94132
0.98156	0.73512	0.99078	0.99581	0.71836	0.75189
0.86169	0.99581	0.90277	0.60436	0.99832	0.99749
0.8399	1	0.93965	0.54736	1	1
					
English	Hindi	Spanish	French	Bengali	Gujarati
0.93965	0.60771	0.84241	0.84661	0.5373	0.52557
0.68315	0.80637	0.62783	0.63202	0.59933	0.57251
0.92624	0.63202	0.93462	0.92288	0.54987	0.53311
0.99246	0.72842	0.98491	0.99581	0.59598	0.55239
0.63621	0.69237	0.59346	0.5943	0.7544	0.59598
0.56999	0.59011	0.54149	0.53898	0.55239	0.59849
					
English	Hindi	Spanish	French	Bengali	Gujarati
0.79799	0.52305	0.76697	0.84409	0.52054	0.52054
0.5834	0.5943	0.61274	0.6337	0.52137	0.52137
0.70243	0.52221	0.9254	0.9145	0.52054	0.52054
0.75524	0.52137	0.92372	0.98743	0.52054	0.52054
0.53982	0.52389	0.54484	0.56329	0.52389	0.52054
0.53982	0.5264	0.54652	0.54987	0.52054	0.52137
