English	Hindi	Spanish	French	Bengali	Gujarati
0.99497	0.99979	0.99455	0.99413	1	1
0.99979	0.99707	0.99895	0.99874	0.99916	1
0.99686	0.99958	0.99308	0.99246	0.99979	1
0.99749	0.99979	0.99497	0.99015	1	1
0.99979	0.99958	0.99916	0.99916	0.9979	1
0.99958	0.99916	0.99853	0.99916	0.99958	0.99623
					
English	Hindi	Spanish	French	Bengali	Gujarati
0.97422	0.99895	0.99644	0.99371	0.99749	0.99874
0.99518	0.98868	0.99874	0.99874	0.99329	0.98889
0.99183	0.99979	0.99036	0.99707	0.99811	0.99832
0.99267	0.99979	0.99916	0.97506	0.99853	0.99853
0.99518	0.99308	0.99916	0.99853	0.97842	0.98994
0.99686	0.99518	0.99916	0.99937	0.99267	0.97255
					
English	Hindi	Spanish	French	Bengali	Gujarati
0.98785	0.99811	0.99204	0.99539	0.99874	0.99644
0.99497	0.99141	0.99518	0.99707	0.99539	0.98806
0.99057	0.99665	0.99057	0.9935	0.99811	0.99518
0.98889	0.99749	0.99036	0.99099	0.99686	0.99476
0.99329	0.99392	0.99455	0.99707	0.99015	0.9824
0.99455	0.9979	0.99518	0.99665	0.99413	0.97024
					
English	Hindi	Spanish	French	Bengali	Gujarati
0.99162	0.99937	0.99476	0.99308	0.99874	0.99979
0.9979	0.99644	0.99916	0.99811	0.99518	0.99937
0.99308	0.99895	0.99371	0.99329	0.99916	1
0.99308	0.99937	0.99288	0.99204	0.99874	1
0.99811	0.99769	0.99874	0.99853	0.99099	0.99895
0.99916	0.99916	0.99937	0.99853	0.99769	0.99686
