English	Hindi	Spanish	French	Bengali	Gujarati
1	1	1	1	1	1
1	1	1	1	1	1
1	1	1	1	1	1
1	1	1	1	1	1
1	1	1	1	1	1
1	1	1	1	1	1
					
English	Hindi	Spanish	French	Bengali	Gujarati
0.99874	0.99979	0.99811	0.99853	0.99979	0.99979
0.99895	0.99853	0.99895	0.99832	0.99769	0.99769
0.99916	0.99958	0.99895	0.99895	0.99958	0.99979
0.99895	1	0.99937	0.99916	0.99979	0.99979
0.99958	0.99728	0.99979	0.99916	0.99602	0.99707
0.99979	0.99769	0.99937	0.99958	0.99623	0.99602
					
English	Hindi	Spanish	French	Bengali	Gujarati
1	1	1	1	1	1
1	1	1	1	1	1
1	1	1	1	1	1
1	1	1	1	1	1
1	1	1	1	1	1
1	1	1	1	1	1
					
English	Hindi	Spanish	French	Bengali	Gujarati
0.99937	0.99958	0.99958	1	0.99958	1
1	0.99958	1	1	0.99958	1
0.99979	0.99916	1	1	0.99958	1
1	0.99937	1	0.99979	1	1
1	0.99979	1	1	0.99916	1
1	0.99895	1	1	0.99811	0.99979
