English	Hindi	Spanish	French	Bengali	Gujarati
0.95516	0.96647	0.9539	0.95851	0.97213	0.97297
0.96605	0.95117	0.95997	0.96291	0.96542	0.9692
0.95683	0.96312	0.95264	0.95557	0.96961	0.97695
0.95285	0.96249	0.95285	0.95264	0.97045	0.9759
0.96333	0.95495	0.96081	0.96333	0.95159	0.96647
0.96396	0.96186	0.96165	0.96417	0.96207	0.95369
					
English	Hindi	Spanish	French	Bengali	Gujarati
0.95683	0.96144	0.96018	0.96018	0.97024	0.97422
0.96815	0.95746	0.97066	0.96731	0.96605	0.9715
0.96081	0.96144	0.95956	0.95872	0.97255	0.97632
0.95788	0.96375	0.95956	0.95557	0.97234	0.97611
0.96982	0.95893	0.97276	0.97087	0.95683	0.96878
0.96982	0.95935	0.97066	0.96794	0.96479	0.95725
					
English	Hindi	Spanish	French	Bengali	Gujarati
0.95997	0.96605	0.95599	0.95935	0.97255	0.97276
0.96375	0.9562	0.95851	0.95914	0.96479	0.97192
0.95997	0.96144	0.95327	0.95809	0.96689	0.97087
0.95641	0.95997	0.95201	0.95683	0.97339	0.97381
0.96396	0.95767	0.95997	0.96228	0.96375	0.96584
0.96794	0.9606	0.95935	0.96207	0.96542	0.96584
					
English	Hindi	Spanish	French	Bengali	Gujarati
0.9606	0.96102	0.95662	0.9539	0.96773	0.97485
0.96752	0.95516	0.96186	0.95746	0.96542	0.97339
0.95893	0.95683	0.95432	0.95327	0.96542	0.97485
0.95851	0.95872	0.95159	0.94824	0.9692	0.97569
0.96584	0.95641	0.96228	0.95683	0.96123	0.96773
0.96794	0.95956	0.95767	0.95893	0.96186	0.96312
