English	Hindi	Spanish	French	Bengali	Gujarati
0.99853	0.94363	0.99895	0.99874	0.97108	0.98491
1	0.78164	1	1	0.96584	0.96354
0.99937	0.9386	0.99937	0.99958	0.97171	0.98345
0.99958	0.94132	0.99979	0.99979	0.97255	0.98449
1	0.95054	1	1	0.97255	0.9868
0.99853	0.92749	0.99832	0.99811	0.95243	0.78185
					
English	Hindi	Spanish	French	Bengali	Gujarati
0.47967	0.56873	0.48324	0.48303	0.32502	0.65214
0.4518	0.4935	0.42079	0.43336	0.59891	0.50293
0.48198	0.58068	0.4803	0.48093	0.32376	0.65381
0.47988	0.58403	0.4803	0.48009	0.32481	0.65801
0.43336	0.50503	0.41597	0.42917	0.64878	0.49602
0.41492	0.51278	0.40256	0.41408	0.5767	0.48219
					
English	Hindi	Spanish	French	Bengali	Gujarati
0.99686	0.9715	0.99728	0.99707	0.9692	0.97695
1	0.79212	1	1	0.98826	0.98491
0.99916	0.97632	0.99958	0.99979	0.97234	0.98114
0.99728	0.97695	0.99707	0.99769	0.9759	0.98177
1	0.97381	1	1	0.99015	0.99162
1	0.92896	1	1	0.94866	0.74267
					
English	Hindi	Spanish	French	Bengali	Gujarati
0.99874	0.97381	0.99895	0.99895	0.98533	0.98198
0.99979	0.87699	1	1	0.98994	0.98617
1	0.98114	1	1	0.98617	0.98365
0.99832	0.97904	0.99832	0.99853	0.98617	0.98219
0.99979	0.98219	1	1	0.99204	0.99225
0.99979	0.97024	1	1	0.97381	0.89585
