English	Hindi	Spanish	French	Bengali	Gujarati
0.83885	0.96668	0.87657	0.87909	0.97443	0.98554
0.92582	0.72674	0.95578	0.96333	0.97946	0.99979
0.9451	0.97674	0.92791	0.93944	0.98198	0.98743
0.94573	0.98135	0.94593	0.93064	0.98596	0.98931
0.99099	0.97779	0.99413	0.99581	0.88013	0.99874
0.99937	0.99832	0.99958	0.99895	0.99874	0.99497
					
English	Hindi	Spanish	French	Bengali	Gujarati
0.28185	0.63831	0.30134	0.329	0.62762	0.78122
0.70222	0.64417	0.79023	0.79673	0.85184	0.99728
0.43168	0.69573	0.43043	0.44216	0.68713	0.81915
0.47171	0.71186	0.47297	0.47758	0.70075	0.80029
0.6865	0.87154	0.76111	0.76844	0.53395	0.99728
0.97381	0.98659	0.98345	0.98743	0.97506	0.99707
					
English	Hindi	Spanish	French	Bengali	Gujarati
0.96731	0.98449	0.96689	0.96815	0.98575	0.98512
0.95348	0.9277	0.93923	0.93986	0.97234	0.98156
0.98847	0.99413	0.98722	0.9891	0.99288	0.99329
0.99078	0.99434	0.98743	0.98847	0.99497	0.99455
0.96333	0.95977	0.95243	0.95075	0.93022	0.97883
0.99853	0.99811	0.99769	0.99832	0.99916	0.99728
					
English	Hindi	Spanish	French	Bengali	Gujarati
0.77075	0.88956	0.78018	0.78835	0.89082	0.91911
0.86044	0.88684	0.82041	0.84556	0.97527	0.99623
0.90444	0.93692	0.90381	0.90968	0.93965	0.95746
0.92037	0.95767	0.92309	0.91702	0.96207	0.97276
0.90884	0.98303	0.87238	0.87406	0.93546	0.9979
0.98743	0.99769	0.9759	0.97821	0.99811	0.99602
