index,ft_lang,model,l1,run_name,mlp_model
0,kannada,xlm-roberta-kannada-init-layers-1,english,efk_loc_xlm-roberta_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-08-01_09-54-13_357472108/models/xlm-roberta-base.2023-08-01_09-54-13_357472108
1,kannada,xlm-roberta-kannada-init-layers-1,spanish,efk_loc_xlm-roberta_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-08-01_09-54-13_357472108/models/xlm-roberta-base.2023-08-01_09-54-13_357472108
2,kannada,xlm-roberta-kannada-init-layers-1,french,efk_loc_xlm-roberta_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-08-01_09-54-13_357472108/models/xlm-roberta-base.2023-08-01_09-54-13_357472108
3,kannada,xlm-roberta-kannada-init-layers-1,hindi,efk_loc_xlm-roberta_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-08-01_09-54-13_357472108/models/xlm-roberta-base.2023-08-01_09-54-13_357472108
4,kannada,xlm-roberta-kannada-init-layers-1,gujarati,efk_loc_xlm-roberta_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-08-01_09-54-13_357472108/models/xlm-roberta-base.2023-08-01_09-54-13_357472108
5,kannada,xlm-roberta-kannada-init-layers-1,bengali,efk_loc_xlm-roberta_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-08-01_09-54-13_357472108/models/xlm-roberta-base.2023-08-01_09-54-13_357472108
6,kannada,xlm-roberta-kannada-init-layers-1,kannada,efk_loc_xlm-roberta_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-08-01_09-54-13_357472108/models/xlm-roberta-base.2023-08-01_09-54-13_357472108
7,kannada,xlm-roberta-kannada-init-layers-1,malayalam,efk_loc_xlm-roberta_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-08-01_09-54-13_357472108/models/xlm-roberta-base.2023-08-01_09-54-13_357472108
8,kannada,xlm-roberta-kannada-init-layers-1,tamil,efk_loc_xlm-roberta_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-08-01_09-54-13_357472108/models/xlm-roberta-base.2023-08-01_09-54-13_357472108
9,kannada,xlm-roberta-kannada-init-layers-1,arabic,efk_loc_xlm-roberta_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-08-01_09-54-13_357472108/models/xlm-roberta-base.2023-08-01_09-54-13_357472108
10,kannada,xlm-roberta-kannada-init-layers-1,chinese,efk_loc_xlm-roberta_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-08-01_09-54-13_357472108/models/xlm-roberta-base.2023-08-01_09-54-13_357472108
11,kannada,xlm-roberta-kannada-middle,english,efk_loc_xlm-roberta_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-08-01_09-54-23_7721525713/models/xlm-roberta-base.2023-08-01_09-54-23_7721525713
12,kannada,xlm-roberta-kannada-middle,spanish,efk_loc_xlm-roberta_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-08-01_09-54-23_7721525713/models/xlm-roberta-base.2023-08-01_09-54-23_7721525713
13,kannada,xlm-roberta-kannada-middle,french,efk_loc_xlm-roberta_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-08-01_09-54-23_7721525713/models/xlm-roberta-base.2023-08-01_09-54-23_7721525713
14,kannada,xlm-roberta-kannada-middle,hindi,efk_loc_xlm-roberta_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-08-01_09-54-23_7721525713/models/xlm-roberta-base.2023-08-01_09-54-23_7721525713
15,kannada,xlm-roberta-kannada-middle,gujarati,efk_loc_xlm-roberta_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-08-01_09-54-23_7721525713/models/xlm-roberta-base.2023-08-01_09-54-23_7721525713
16,kannada,xlm-roberta-kannada-middle,bengali,efk_loc_xlm-roberta_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-08-01_09-54-23_7721525713/models/xlm-roberta-base.2023-08-01_09-54-23_7721525713
17,kannada,xlm-roberta-kannada-middle,kannada,efk_loc_xlm-roberta_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-08-01_09-54-23_7721525713/models/xlm-roberta-base.2023-08-01_09-54-23_7721525713
18,kannada,xlm-roberta-kannada-middle,malayalam,efk_loc_xlm-roberta_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-08-01_09-54-23_7721525713/models/xlm-roberta-base.2023-08-01_09-54-23_7721525713
19,kannada,xlm-roberta-kannada-middle,tamil,efk_loc_xlm-roberta_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-08-01_09-54-23_7721525713/models/xlm-roberta-base.2023-08-01_09-54-23_7721525713
20,kannada,xlm-roberta-kannada-middle,arabic,efk_loc_xlm-roberta_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-08-01_09-54-23_7721525713/models/xlm-roberta-base.2023-08-01_09-54-23_7721525713
21,kannada,xlm-roberta-kannada-middle,chinese,efk_loc_xlm-roberta_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-08-01_09-54-23_7721525713/models/xlm-roberta-base.2023-08-01_09-54-23_7721525713
22,kannada,xlm-roberta-kannada-last-layer,english,efk_loc_xlm-roberta_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-08-01_11-30-37_6958658694/models/xlm-roberta-base.2023-08-01_11-30-37_6958658694
23,kannada,xlm-roberta-kannada-last-layer,spanish,efk_loc_xlm-roberta_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-08-01_11-30-37_6958658694/models/xlm-roberta-base.2023-08-01_11-30-37_6958658694
24,kannada,xlm-roberta-kannada-last-layer,french,efk_loc_xlm-roberta_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-08-01_11-30-37_6958658694/models/xlm-roberta-base.2023-08-01_11-30-37_6958658694
25,kannada,xlm-roberta-kannada-last-layer,hindi,efk_loc_xlm-roberta_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-08-01_11-30-37_6958658694/models/xlm-roberta-base.2023-08-01_11-30-37_6958658694
26,kannada,xlm-roberta-kannada-last-layer,gujarati,efk_loc_xlm-roberta_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-08-01_11-30-37_6958658694/models/xlm-roberta-base.2023-08-01_11-30-37_6958658694
27,kannada,xlm-roberta-kannada-last-layer,bengali,efk_loc_xlm-roberta_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-08-01_11-30-37_6958658694/models/xlm-roberta-base.2023-08-01_11-30-37_6958658694
28,kannada,xlm-roberta-kannada-last-layer,kannada,efk_loc_xlm-roberta_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-08-01_11-30-37_6958658694/models/xlm-roberta-base.2023-08-01_11-30-37_6958658694
29,kannada,xlm-roberta-kannada-last-layer,malayalam,efk_loc_xlm-roberta_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-08-01_11-30-37_6958658694/models/xlm-roberta-base.2023-08-01_11-30-37_6958658694
30,kannada,xlm-roberta-kannada-last-layer,tamil,efk_loc_xlm-roberta_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-08-01_11-30-37_6958658694/models/xlm-roberta-base.2023-08-01_11-30-37_6958658694
31,kannada,xlm-roberta-kannada-last-layer,arabic,efk_loc_xlm-roberta_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-08-01_11-30-37_6958658694/models/xlm-roberta-base.2023-08-01_11-30-37_6958658694
32,kannada,xlm-roberta-kannada-last-layer,chinese,efk_loc_xlm-roberta_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-08-01_11-30-37_6958658694/models/xlm-roberta-base.2023-08-01_11-30-37_6958658694
33,kannada,xlm-roberta-kannada-random,english,efk_loc_xlm-roberta_finetuned_kannada_random,/home/anonymous-xme/mend/mend/outputs/2023-08-01_13-02-56_2869326303/models/xlm-roberta-base.2023-08-01_13-02-56_2869326303
34,kannada,xlm-roberta-kannada-random,spanish,efk_loc_xlm-roberta_finetuned_kannada_random,/home/anonymous-xme/mend/mend/outputs/2023-08-01_13-02-56_2869326303/models/xlm-roberta-base.2023-08-01_13-02-56_2869326303
35,kannada,xlm-roberta-kannada-random,french,efk_loc_xlm-roberta_finetuned_kannada_random,/home/anonymous-xme/mend/mend/outputs/2023-08-01_13-02-56_2869326303/models/xlm-roberta-base.2023-08-01_13-02-56_2869326303
36,kannada,xlm-roberta-kannada-random,hindi,efk_loc_xlm-roberta_finetuned_kannada_random,/home/anonymous-xme/mend/mend/outputs/2023-08-01_13-02-56_2869326303/models/xlm-roberta-base.2023-08-01_13-02-56_2869326303
