index,ft_lang,model,l1,run_name,mlp_model
0,kannada,bloom-560m-kannada-init-layers-1,english,ft_loc_bloom-560m_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-30_08-37-55_193148783/models/bloom-560m.2023-07-30_08-37-55_193148783
1,kannada,bloom-560m-kannada-init-layers-1,spanish,ft_loc_bloom-560m_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-30_08-37-55_193148783/models/bloom-560m.2023-07-30_08-37-55_193148783
2,kannada,bloom-560m-kannada-init-layers-1,french,ft_loc_bloom-560m_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-30_08-37-55_193148783/models/bloom-560m.2023-07-30_08-37-55_193148783
3,kannada,bloom-560m-kannada-init-layers-1,hindi,ft_loc_bloom-560m_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-30_08-37-55_193148783/models/bloom-560m.2023-07-30_08-37-55_193148783
4,kannada,bloom-560m-kannada-init-layers-1,gujarati,ft_loc_bloom-560m_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-30_08-37-55_193148783/models/bloom-560m.2023-07-30_08-37-55_193148783
5,kannada,bloom-560m-kannada-init-layers-1,bengali,ft_loc_bloom-560m_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-30_08-37-55_193148783/models/bloom-560m.2023-07-30_08-37-55_193148783
6,kannada,bloom-560m-kannada-init-layers-1,kannada,ft_loc_bloom-560m_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-30_08-37-55_193148783/models/bloom-560m.2023-07-30_08-37-55_193148783
7,kannada,bloom-560m-kannada-init-layers-1,malayalam,ft_loc_bloom-560m_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-30_08-37-55_193148783/models/bloom-560m.2023-07-30_08-37-55_193148783
8,kannada,bloom-560m-kannada-init-layers-1,tamil,ft_loc_bloom-560m_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-30_08-37-55_193148783/models/bloom-560m.2023-07-30_08-37-55_193148783
9,kannada,bloom-560m-kannada-init-layers-1,arabic,ft_loc_bloom-560m_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-30_08-37-55_193148783/models/bloom-560m.2023-07-30_08-37-55_193148783
