index,ft_lang,model,l1,run_name,mlp_model
0,english,bloom-560m-english-init-layers-1,english,mend_loc_bloom-560m_finetuned_english_init_layers_1,/home/anonymous-xme/mend/mend/data/fever/mend_models/mend-bloom-560m-english-init-layers-1-pred/models/bloom-560m.2023-04-17_14-15-16_7851742737.bk
1,english,bloom-560m-english-init-layers-1,spanish,mend_loc_bloom-560m_finetuned_english_init_layers_1,/home/anonymous-xme/mend/mend/data/fever/mend_models/mend-bloom-560m-english-init-layers-1-pred/models/bloom-560m.2023-04-17_14-15-16_7851742737.bk
2,english,bloom-560m-english-init-layers-1,french,mend_loc_bloom-560m_finetuned_english_init_layers_1,/home/anonymous-xme/mend/mend/data/fever/mend_models/mend-bloom-560m-english-init-layers-1-pred/models/bloom-560m.2023-04-17_14-15-16_7851742737.bk
3,english,bloom-560m-english-init-layers-1,hindi,mend_loc_bloom-560m_finetuned_english_init_layers_1,/home/anonymous-xme/mend/mend/data/fever/mend_models/mend-bloom-560m-english-init-layers-1-pred/models/bloom-560m.2023-04-17_14-15-16_7851742737.bk
4,english,bloom-560m-english-init-layers-1,gujarati,mend_loc_bloom-560m_finetuned_english_init_layers_1,/home/anonymous-xme/mend/mend/data/fever/mend_models/mend-bloom-560m-english-init-layers-1-pred/models/bloom-560m.2023-04-17_14-15-16_7851742737.bk
5,english,bloom-560m-english-init-layers-1,bengali,mend_loc_bloom-560m_finetuned_english_init_layers_1,/home/anonymous-xme/mend/mend/data/fever/mend_models/mend-bloom-560m-english-init-layers-1-pred/models/bloom-560m.2023-04-17_14-15-16_7851742737.bk
6,english,bloom-560m-english-init-layers-1,kannada,mend_loc_bloom-560m_finetuned_english_init_layers_1,/home/anonymous-xme/mend/mend/data/fever/mend_models/mend-bloom-560m-english-init-layers-1-pred/models/bloom-560m.2023-04-17_14-15-16_7851742737.bk
7,english,bloom-560m-english-init-layers-1,malayalam,mend_loc_bloom-560m_finetuned_english_init_layers_1,/home/anonymous-xme/mend/mend/data/fever/mend_models/mend-bloom-560m-english-init-layers-1-pred/models/bloom-560m.2023-04-17_14-15-16_7851742737.bk
8,english,bloom-560m-english-init-layers-1,tamil,mend_loc_bloom-560m_finetuned_english_init_layers_1,/home/anonymous-xme/mend/mend/data/fever/mend_models/mend-bloom-560m-english-init-layers-1-pred/models/bloom-560m.2023-04-17_14-15-16_7851742737.bk
9,english,bloom-560m-english-init-layers-1,arabic,mend_loc_bloom-560m_finetuned_english_init_layers_1,/home/anonymous-xme/mend/mend/data/fever/mend_models/mend-bloom-560m-english-init-layers-1-pred/models/bloom-560m.2023-04-17_14-15-16_7851742737.bk
10,english,bloom-560m-english-init-layers-1,chinese,mend_loc_bloom-560m_finetuned_english_init_layers_1,/home/anonymous-xme/mend/mend/data/fever/mend_models/mend-bloom-560m-english-init-layers-1-pred/models/bloom-560m.2023-04-17_14-15-16_7851742737.bk
11,english,bloom-560m-english-middle,english,mend_loc_bloom-560m_finetuned_english_middle,/home/anonymous-xme/mend/mend/data/fever/mend_models/mend-bloom-560m-english-middle-layers-pred/models/bloom-560m.2023-04-17_22-18-54_5163214677.bk
12,english,bloom-560m-english-middle,spanish,mend_loc_bloom-560m_finetuned_english_middle,/home/anonymous-xme/mend/mend/data/fever/mend_models/mend-bloom-560m-english-middle-layers-pred/models/bloom-560m.2023-04-17_22-18-54_5163214677.bk
13,english,bloom-560m-english-middle,french,mend_loc_bloom-560m_finetuned_english_middle,/home/anonymous-xme/mend/mend/data/fever/mend_models/mend-bloom-560m-english-middle-layers-pred/models/bloom-560m.2023-04-17_22-18-54_5163214677.bk
14,english,bloom-560m-english-middle,hindi,mend_loc_bloom-560m_finetuned_english_middle,/home/anonymous-xme/mend/mend/data/fever/mend_models/mend-bloom-560m-english-middle-layers-pred/models/bloom-560m.2023-04-17_22-18-54_5163214677.bk
15,english,bloom-560m-english-middle,gujarati,mend_loc_bloom-560m_finetuned_english_middle,/home/anonymous-xme/mend/mend/data/fever/mend_models/mend-bloom-560m-english-middle-layers-pred/models/bloom-560m.2023-04-17_22-18-54_5163214677.bk
16,english,bloom-560m-english-middle,bengali,mend_loc_bloom-560m_finetuned_english_middle,/home/anonymous-xme/mend/mend/data/fever/mend_models/mend-bloom-560m-english-middle-layers-pred/models/bloom-560m.2023-04-17_22-18-54_5163214677.bk
17,english,bloom-560m-english-middle,kannada,mend_loc_bloom-560m_finetuned_english_middle,/home/anonymous-xme/mend/mend/data/fever/mend_models/mend-bloom-560m-english-middle-layers-pred/models/bloom-560m.2023-04-17_22-18-54_5163214677.bk
18,english,bloom-560m-english-middle,malayalam,mend_loc_bloom-560m_finetuned_english_middle,/home/anonymous-xme/mend/mend/data/fever/mend_models/mend-bloom-560m-english-middle-layers-pred/models/bloom-560m.2023-04-17_22-18-54_5163214677.bk
19,english,bloom-560m-english-middle,tamil,mend_loc_bloom-560m_finetuned_english_middle,/home/anonymous-xme/mend/mend/data/fever/mend_models/mend-bloom-560m-english-middle-layers-pred/models/bloom-560m.2023-04-17_22-18-54_5163214677.bk
20,english,bloom-560m-english-middle,arabic,mend_loc_bloom-560m_finetuned_english_middle,/home/anonymous-xme/mend/mend/data/fever/mend_models/mend-bloom-560m-english-middle-layers-pred/models/bloom-560m.2023-04-17_22-18-54_5163214677.bk
21,english,bloom-560m-english-middle,chinese,mend_loc_bloom-560m_finetuned_english_middle,/home/anonymous-xme/mend/mend/data/fever/mend_models/mend-bloom-560m-english-middle-layers-pred/models/bloom-560m.2023-04-17_22-18-54_5163214677.bk
22,english,bloom-560m-english-last-layer,english,mend_loc_bloom-560m_finetuned_english_last_layer,/home/anonymous-xme/mend/mend/data/fever/mend_models/mend-bloom-560m-english-last-layers-pred/models/bloom-560m.2023-04-17_22-21-38_5418723295.bk
23,english,bloom-560m-english-last-layer,spanish,mend_loc_bloom-560m_finetuned_english_last_layer,/home/anonymous-xme/mend/mend/data/fever/mend_models/mend-bloom-560m-english-last-layers-pred/models/bloom-560m.2023-04-17_22-21-38_5418723295.bk
24,english,bloom-560m-english-last-layer,french,mend_loc_bloom-560m_finetuned_english_last_layer,/home/anonymous-xme/mend/mend/data/fever/mend_models/mend-bloom-560m-english-last-layers-pred/models/bloom-560m.2023-04-17_22-21-38_5418723295.bk
