index,ft_lang,model,l1,run_name,mlp_model
0,kannada,mbert-uncased-kannada-init-layers-1,english,mend_loc_mbert-uncased_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-05-51_9513388353/models/bert-base-multilingual-uncased.2023-07-20_08-05-51_9513388353
1,kannada,mbert-uncased-kannada-init-layers-1,spanish,mend_loc_mbert-uncased_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-05-51_9513388353/models/bert-base-multilingual-uncased.2023-07-20_08-05-51_9513388353
2,kannada,mbert-uncased-kannada-init-layers-1,french,mend_loc_mbert-uncased_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-05-51_9513388353/models/bert-base-multilingual-uncased.2023-07-20_08-05-51_9513388353
3,kannada,mbert-uncased-kannada-init-layers-1,hindi,mend_loc_mbert-uncased_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-05-51_9513388353/models/bert-base-multilingual-uncased.2023-07-20_08-05-51_9513388353
4,kannada,mbert-uncased-kannada-init-layers-1,gujarati,mend_loc_mbert-uncased_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-05-51_9513388353/models/bert-base-multilingual-uncased.2023-07-20_08-05-51_9513388353
5,kannada,mbert-uncased-kannada-init-layers-1,bengali,mend_loc_mbert-uncased_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-05-51_9513388353/models/bert-base-multilingual-uncased.2023-07-20_08-05-51_9513388353
6,kannada,mbert-uncased-kannada-init-layers-1,kannada,mend_loc_mbert-uncased_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-05-51_9513388353/models/bert-base-multilingual-uncased.2023-07-20_08-05-51_9513388353
7,kannada,mbert-uncased-kannada-init-layers-1,malayalam,mend_loc_mbert-uncased_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-05-51_9513388353/models/bert-base-multilingual-uncased.2023-07-20_08-05-51_9513388353
8,kannada,mbert-uncased-kannada-init-layers-1,tamil,mend_loc_mbert-uncased_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-05-51_9513388353/models/bert-base-multilingual-uncased.2023-07-20_08-05-51_9513388353
9,kannada,mbert-uncased-kannada-init-layers-1,arabic,mend_loc_mbert-uncased_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-05-51_9513388353/models/bert-base-multilingual-uncased.2023-07-20_08-05-51_9513388353
10,kannada,mbert-uncased-kannada-init-layers-1,chinese,mend_loc_mbert-uncased_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-05-51_9513388353/models/bert-base-multilingual-uncased.2023-07-20_08-05-51_9513388353
11,kannada,mbert-uncased-kannada-middle,english,mend_loc_mbert-uncased_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-11_0296046485/models/bert-base-multilingual-uncased.2023-07-20_08-06-11_0296046485
12,kannada,mbert-uncased-kannada-middle,spanish,mend_loc_mbert-uncased_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-11_0296046485/models/bert-base-multilingual-uncased.2023-07-20_08-06-11_0296046485
13,kannada,mbert-uncased-kannada-middle,french,mend_loc_mbert-uncased_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-11_0296046485/models/bert-base-multilingual-uncased.2023-07-20_08-06-11_0296046485
14,kannada,mbert-uncased-kannada-middle,hindi,mend_loc_mbert-uncased_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-11_0296046485/models/bert-base-multilingual-uncased.2023-07-20_08-06-11_0296046485
15,kannada,mbert-uncased-kannada-middle,gujarati,mend_loc_mbert-uncased_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-11_0296046485/models/bert-base-multilingual-uncased.2023-07-20_08-06-11_0296046485
16,kannada,mbert-uncased-kannada-middle,bengali,mend_loc_mbert-uncased_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-11_0296046485/models/bert-base-multilingual-uncased.2023-07-20_08-06-11_0296046485
17,kannada,mbert-uncased-kannada-middle,kannada,mend_loc_mbert-uncased_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-11_0296046485/models/bert-base-multilingual-uncased.2023-07-20_08-06-11_0296046485
18,kannada,mbert-uncased-kannada-middle,malayalam,mend_loc_mbert-uncased_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-11_0296046485/models/bert-base-multilingual-uncased.2023-07-20_08-06-11_0296046485
19,kannada,mbert-uncased-kannada-middle,tamil,mend_loc_mbert-uncased_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-11_0296046485/models/bert-base-multilingual-uncased.2023-07-20_08-06-11_0296046485
20,kannada,mbert-uncased-kannada-middle,arabic,mend_loc_mbert-uncased_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-11_0296046485/models/bert-base-multilingual-uncased.2023-07-20_08-06-11_0296046485
21,kannada,mbert-uncased-kannada-middle,chinese,mend_loc_mbert-uncased_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-11_0296046485/models/bert-base-multilingual-uncased.2023-07-20_08-06-11_0296046485
22,kannada,mbert-uncased-kannada-last-layer,english,mend_loc_mbert-uncased_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-34_3999113512/models/bert-base-multilingual-uncased.2023-07-20_08-06-34_3999113512
23,kannada,mbert-uncased-kannada-last-layer,spanish,mend_loc_mbert-uncased_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-34_3999113512/models/bert-base-multilingual-uncased.2023-07-20_08-06-34_3999113512
24,kannada,mbert-uncased-kannada-last-layer,french,mend_loc_mbert-uncased_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-34_3999113512/models/bert-base-multilingual-uncased.2023-07-20_08-06-34_3999113512
25,kannada,mbert-uncased-kannada-last-layer,hindi,mend_loc_mbert-uncased_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-34_3999113512/models/bert-base-multilingual-uncased.2023-07-20_08-06-34_3999113512
26,kannada,mbert-uncased-kannada-last-layer,gujarati,mend_loc_mbert-uncased_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-34_3999113512/models/bert-base-multilingual-uncased.2023-07-20_08-06-34_3999113512
27,kannada,mbert-uncased-kannada-last-layer,bengali,mend_loc_mbert-uncased_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-34_3999113512/models/bert-base-multilingual-uncased.2023-07-20_08-06-34_3999113512
28,kannada,mbert-uncased-kannada-last-layer,kannada,mend_loc_mbert-uncased_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-34_3999113512/models/bert-base-multilingual-uncased.2023-07-20_08-06-34_3999113512
29,kannada,mbert-uncased-kannada-last-layer,malayalam,mend_loc_mbert-uncased_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-34_3999113512/models/bert-base-multilingual-uncased.2023-07-20_08-06-34_3999113512
30,kannada,mbert-uncased-kannada-last-layer,tamil,mend_loc_mbert-uncased_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-34_3999113512/models/bert-base-multilingual-uncased.2023-07-20_08-06-34_3999113512
31,kannada,mbert-uncased-kannada-last-layer,arabic,mend_loc_mbert-uncased_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-34_3999113512/models/bert-base-multilingual-uncased.2023-07-20_08-06-34_3999113512
32,kannada,mbert-uncased-kannada-last-layer,chinese,mend_loc_mbert-uncased_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-34_3999113512/models/bert-base-multilingual-uncased.2023-07-20_08-06-34_3999113512
33,kannada,mbert-uncased-kannada-random,english,mend_loc_mbert-uncased_finetuned_kannada_random,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-52_4396036072/models/bert-base-multilingual-uncased.2023-07-20_08-06-52_4396036072
34,kannada,mbert-uncased-kannada-random,spanish,mend_loc_mbert-uncased_finetuned_kannada_random,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-52_4396036072/models/bert-base-multilingual-uncased.2023-07-20_08-06-52_4396036072
35,kannada,mbert-uncased-kannada-random,french,mend_loc_mbert-uncased_finetuned_kannada_random,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-52_4396036072/models/bert-base-multilingual-uncased.2023-07-20_08-06-52_4396036072
36,kannada,mbert-uncased-kannada-random,hindi,mend_loc_mbert-uncased_finetuned_kannada_random,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-52_4396036072/models/bert-base-multilingual-uncased.2023-07-20_08-06-52_4396036072
37,kannada,mbert-uncased-kannada-random,gujarati,mend_loc_mbert-uncased_finetuned_kannada_random,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-52_4396036072/models/bert-base-multilingual-uncased.2023-07-20_08-06-52_4396036072
38,kannada,mbert-uncased-kannada-random,bengali,mend_loc_mbert-uncased_finetuned_kannada_random,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-52_4396036072/models/bert-base-multilingual-uncased.2023-07-20_08-06-52_4396036072
39,kannada,mbert-uncased-kannada-random,kannada,mend_loc_mbert-uncased_finetuned_kannada_random,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-52_4396036072/models/bert-base-multilingual-uncased.2023-07-20_08-06-52_4396036072
40,kannada,mbert-uncased-kannada-random,malayalam,mend_loc_mbert-uncased_finetuned_kannada_random,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-52_4396036072/models/bert-base-multilingual-uncased.2023-07-20_08-06-52_4396036072
41,kannada,mbert-uncased-kannada-random,tamil,mend_loc_mbert-uncased_finetuned_kannada_random,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-52_4396036072/models/bert-base-multilingual-uncased.2023-07-20_08-06-52_4396036072
42,kannada,mbert-uncased-kannada-random,arabic,mend_loc_mbert-uncased_finetuned_kannada_random,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-52_4396036072/models/bert-base-multilingual-uncased.2023-07-20_08-06-52_4396036072
43,kannada,mbert-uncased-kannada-random,chinese,mend_loc_mbert-uncased_finetuned_kannada_random,/home/anonymous-xme/mend/mend/outputs/2023-07-20_08-06-52_4396036072/models/bert-base-multilingual-uncased.2023-07-20_08-06-52_4396036072
44,malayalam,mbert-uncased-malayalam-init-layers-1,english,mend_loc_mbert-uncased_finetuned_malayalam_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-18_08-28-22_0316404263/models/bert-base-multilingual-uncased.2023-07-18_08-28-22_0316404263
45,malayalam,mbert-uncased-malayalam-init-layers-1,spanish,mend_loc_mbert-uncased_finetuned_malayalam_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-18_08-28-22_0316404263/models/bert-base-multilingual-uncased.2023-07-18_08-28-22_0316404263
46,malayalam,mbert-uncased-malayalam-init-layers-1,french,mend_loc_mbert-uncased_finetuned_malayalam_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-18_08-28-22_0316404263/models/bert-base-multilingual-uncased.2023-07-18_08-28-22_0316404263
47,malayalam,mbert-uncased-malayalam-init-layers-1,hindi,mend_loc_mbert-uncased_finetuned_malayalam_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-18_08-28-22_0316404263/models/bert-base-multilingual-uncased.2023-07-18_08-28-22_0316404263
48,malayalam,mbert-uncased-malayalam-init-layers-1,gujarati,mend_loc_mbert-uncased_finetuned_malayalam_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-18_08-28-22_0316404263/models/bert-base-multilingual-uncased.2023-07-18_08-28-22_0316404263
49,malayalam,mbert-uncased-malayalam-init-layers-1,bengali,mend_loc_mbert-uncased_finetuned_malayalam_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-18_08-28-22_0316404263/models/bert-base-multilingual-uncased.2023-07-18_08-28-22_0316404263
50,malayalam,mbert-uncased-malayalam-init-layers-1,kannada,mend_loc_mbert-uncased_finetuned_malayalam_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-18_08-28-22_0316404263/models/bert-base-multilingual-uncased.2023-07-18_08-28-22_0316404263
51,malayalam,mbert-uncased-malayalam-init-layers-1,malayalam,mend_loc_mbert-uncased_finetuned_malayalam_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-18_08-28-22_0316404263/models/bert-base-multilingual-uncased.2023-07-18_08-28-22_0316404263
52,malayalam,mbert-uncased-malayalam-init-layers-1,tamil,mend_loc_mbert-uncased_finetuned_malayalam_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-18_08-28-22_0316404263/models/bert-base-multilingual-uncased.2023-07-18_08-28-22_0316404263
53,malayalam,mbert-uncased-malayalam-init-layers-1,arabic,mend_loc_mbert-uncased_finetuned_malayalam_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-18_08-28-22_0316404263/models/bert-base-multilingual-uncased.2023-07-18_08-28-22_0316404263
