index,ft_lang,model,l1,run_name,mlp_model
0,kannada,xlm-roberta-kannada-init-layers-1,english,mend_loc_xlm-roberta_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-16_23-41-35_7137705798/models/xlm-roberta-base.2023-07-16_23-41-35_7137705798
1,kannada,xlm-roberta-kannada-init-layers-1,spanish,mend_loc_xlm-roberta_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-16_23-41-35_7137705798/models/xlm-roberta-base.2023-07-16_23-41-35_7137705798
2,kannada,xlm-roberta-kannada-init-layers-1,french,mend_loc_xlm-roberta_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-16_23-41-35_7137705798/models/xlm-roberta-base.2023-07-16_23-41-35_7137705798
3,kannada,xlm-roberta-kannada-init-layers-1,hindi,mend_loc_xlm-roberta_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-16_23-41-35_7137705798/models/xlm-roberta-base.2023-07-16_23-41-35_7137705798
4,kannada,xlm-roberta-kannada-init-layers-1,gujarati,mend_loc_xlm-roberta_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-16_23-41-35_7137705798/models/xlm-roberta-base.2023-07-16_23-41-35_7137705798
5,kannada,xlm-roberta-kannada-init-layers-1,bengali,mend_loc_xlm-roberta_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-16_23-41-35_7137705798/models/xlm-roberta-base.2023-07-16_23-41-35_7137705798
6,kannada,xlm-roberta-kannada-init-layers-1,kannada,mend_loc_xlm-roberta_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-16_23-41-35_7137705798/models/xlm-roberta-base.2023-07-16_23-41-35_7137705798
7,kannada,xlm-roberta-kannada-init-layers-1,malayalam,mend_loc_xlm-roberta_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-16_23-41-35_7137705798/models/xlm-roberta-base.2023-07-16_23-41-35_7137705798
8,kannada,xlm-roberta-kannada-init-layers-1,tamil,mend_loc_xlm-roberta_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-16_23-41-35_7137705798/models/xlm-roberta-base.2023-07-16_23-41-35_7137705798
9,kannada,xlm-roberta-kannada-init-layers-1,arabic,mend_loc_xlm-roberta_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-16_23-41-35_7137705798/models/xlm-roberta-base.2023-07-16_23-41-35_7137705798
10,kannada,xlm-roberta-kannada-init-layers-1,chinese,mend_loc_xlm-roberta_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-16_23-41-35_7137705798/models/xlm-roberta-base.2023-07-16_23-41-35_7137705798
11,kannada,xlm-roberta-kannada-middle,english,mend_loc_xlm-roberta_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-17_06-40-19_8144339315/models/xlm-roberta-base.2023-07-17_06-40-19_8144339315
12,kannada,xlm-roberta-kannada-middle,spanish,mend_loc_xlm-roberta_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-17_06-40-19_8144339315/models/xlm-roberta-base.2023-07-17_06-40-19_8144339315
13,kannada,xlm-roberta-kannada-middle,french,mend_loc_xlm-roberta_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-17_06-40-19_8144339315/models/xlm-roberta-base.2023-07-17_06-40-19_8144339315
14,kannada,xlm-roberta-kannada-middle,hindi,mend_loc_xlm-roberta_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-17_06-40-19_8144339315/models/xlm-roberta-base.2023-07-17_06-40-19_8144339315
15,kannada,xlm-roberta-kannada-middle,gujarati,mend_loc_xlm-roberta_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-17_06-40-19_8144339315/models/xlm-roberta-base.2023-07-17_06-40-19_8144339315
16,kannada,xlm-roberta-kannada-middle,bengali,mend_loc_xlm-roberta_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-17_06-40-19_8144339315/models/xlm-roberta-base.2023-07-17_06-40-19_8144339315
17,kannada,xlm-roberta-kannada-middle,kannada,mend_loc_xlm-roberta_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-17_06-40-19_8144339315/models/xlm-roberta-base.2023-07-17_06-40-19_8144339315
18,kannada,xlm-roberta-kannada-middle,malayalam,mend_loc_xlm-roberta_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-17_06-40-19_8144339315/models/xlm-roberta-base.2023-07-17_06-40-19_8144339315
19,kannada,xlm-roberta-kannada-middle,tamil,mend_loc_xlm-roberta_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-17_06-40-19_8144339315/models/xlm-roberta-base.2023-07-17_06-40-19_8144339315
20,kannada,xlm-roberta-kannada-middle,arabic,mend_loc_xlm-roberta_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-17_06-40-19_8144339315/models/xlm-roberta-base.2023-07-17_06-40-19_8144339315
21,kannada,xlm-roberta-kannada-middle,chinese,mend_loc_xlm-roberta_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-17_06-40-19_8144339315/models/xlm-roberta-base.2023-07-17_06-40-19_8144339315
22,kannada,xlm-roberta-kannada-last-layer,english,mend_loc_xlm-roberta_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-07-17_06-40-33_553166296/models/xlm-roberta-base.2023-07-17_06-40-33_553166296
23,kannada,xlm-roberta-kannada-last-layer,spanish,mend_loc_xlm-roberta_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-07-17_06-40-33_553166296/models/xlm-roberta-base.2023-07-17_06-40-33_553166296
24,kannada,xlm-roberta-kannada-last-layer,french,mend_loc_xlm-roberta_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-07-17_06-40-33_553166296/models/xlm-roberta-base.2023-07-17_06-40-33_553166296
25,kannada,xlm-roberta-kannada-last-layer,hindi,mend_loc_xlm-roberta_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-07-17_06-40-33_553166296/models/xlm-roberta-base.2023-07-17_06-40-33_553166296
26,kannada,xlm-roberta-kannada-last-layer,gujarati,mend_loc_xlm-roberta_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-07-17_06-40-33_553166296/models/xlm-roberta-base.2023-07-17_06-40-33_553166296
27,kannada,xlm-roberta-kannada-last-layer,bengali,mend_loc_xlm-roberta_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-07-17_06-40-33_553166296/models/xlm-roberta-base.2023-07-17_06-40-33_553166296
28,kannada,xlm-roberta-kannada-last-layer,kannada,mend_loc_xlm-roberta_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-07-17_06-40-33_553166296/models/xlm-roberta-base.2023-07-17_06-40-33_553166296
29,kannada,xlm-roberta-kannada-last-layer,malayalam,mend_loc_xlm-roberta_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-07-17_06-40-33_553166296/models/xlm-roberta-base.2023-07-17_06-40-33_553166296
30,kannada,xlm-roberta-kannada-last-layer,tamil,mend_loc_xlm-roberta_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-07-17_06-40-33_553166296/models/xlm-roberta-base.2023-07-17_06-40-33_553166296
31,kannada,xlm-roberta-kannada-last-layer,arabic,mend_loc_xlm-roberta_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-07-17_06-40-33_553166296/models/xlm-roberta-base.2023-07-17_06-40-33_553166296
